,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
4996,0,0,15,10,2023,6,45.638241782083234,45.6148292959088,59.940800187866046,46.21814820721722,45.082426391701766,45.05355929591236,46.05605241489673,44.0,45.89956913685874
4997,0,0,16,10,2023,6,45.89956913685874,45.638241782083234,59.85387955542638,46.66296184671243,45.68321161322571,45.67792579522037,46.21274421148829,44.0,46.44976475762065
4998,0,0,17,10,2023,6,46.44976475762065,45.89956913685874,59.5387909986538,47.25635422870877,46.468128350065086,46.5731122724647,46.40202423109667,44.0,47.30491263356392
4999,0,0,18,10,2023,6,47.30491263356392,46.44976475762065,59.00006389202757,47.97312320284531,47.445241026448215,47.73961130060977,46.65402311321164,44.0,48.43510139631967
5000,0,0,19,10,2023,6,48.43510139631967,47.30491263356392,58.260193592917545,48.805426185944384,48.60943392134524,49.15050580267452,47.001307503027945,45.0,49.78325976019473
5001,0,0,20,10,2023,6,49.78325976019473,48.43510139631967,57.36480458729215,49.7167628727987,49.92311807121604,50.746870131807725,47.451793628638576,46.0,51.27734917716303
5002,0,0,21,10,2023,6,51.27734917716303,49.78325976019473,56.36312263002068,50.636319418583945,51.32845243722743,52.43317450807019,48.00342538781376,46.0,52.81346426832411
5003,0,0,22,10,2023,6,52.81346426832411,51.27734917716303,55.309258898039246,51.49274636301153,52.7618543765136,54.10619945026095,48.646790935370106,47.0,54.2754164174837
5004,0,0,23,10,2023,6,54.2754164174837,52.81346426832411,54.25297579997876,52.22744710498301,54.1579201101242,55.66413951076587,49.35472519240216,48.0,55.55651923576846
5005,0,0,24,10,2023,6,55.55651923576846,54.2754164174837,53.234899710010566,52.80120658973996,55.456449936463926,57.02222997125799,50.07266769921704,49.0,56.564660573799664
5006,0,0,1,10,2023,0,56.564660573799664,55.55651923576846,52.29031322439982,53.17633145217777,56.61529199995,58.11629431347986,50.72442719099702,53.0,57.22143922173489
5007,0,0,2,10,2023,0,57.22143922173489,56.564660573799664,51.45080621900931,53.33912080744913,57.6130966368228,58.915639834502365,51.24554929649593,53.0,57.49212606484099
5008,0,0,3,10,2023,0,57.49212606484099,57.22143922173489,50.72296698158123,53.3202871803416,58.46887849649745,59.450892124278816,51.59218068446034,53.0,57.41016820108805
5009,0,0,4,10,2023,0,57.41016820108805,57.49212606484099,50.077068844561474,53.19470920966043,59.21188828887872,59.79980595710656,51.75941244760438,53.0,57.05979752191448
5010,0,0,5,10,2023,0,57.05979752191448,57.41016820108805,49.48171177882824,53.04503608762007,59.88883295395461,60.07008979401719,51.7902594931943,53.0,56.56296909502765
5011,0,0,6,10,2023,0,56.56296909502765,57.05979752191448,48.90746548302106,52.93723528373397,60.539248978136506,60.33693872223842,51.71806421890805,52.0,56.03259808536744
5012,0,0,7,10,2023,0,56.03259808536744,56.56296909502765,48.33014565487563,52.91542199669097,61.17244025806762,60.64242766315655,51.56835710040369,52.0,55.56211257187921
5013,0,0,8,10,2023,0,55.56211257187921,56.03259808536744,47.74431118608415,52.99937259365976,61.78405978861404,61.0028393323747,51.36512864728018,51.0,55.21294820892233
5014,0,0,9,10,2023,0,55.21294820892233,55.56211257187921,47.16482157127136,53.17682235030245,62.355101079831215,61.4126980620981,51.1332048237634,51.0,55.01955359048636
5015,0,0,10,10,2023,0,55.01955359048636,55.21294820892233,46.61913149888474,53.4199668315041,62.859463424523206,61.8555147623629,50.90692391957945,51.0,54.98730333401344
5016,0,0,11,10,2023,0,54.98730333401344,55.01955359048636,46.14647705656856,53.70612560263524,63.280677960992016,62.303382605561474,50.72078980423067,50.0,55.08972584163517
5017,0,0,12,10,2023,0,55.08972584163517,54.98730333401344,45.79727151434767,54.013925583089744,63.60905161817367,62.72267364940936,50.59224658529757,50.0,55.2815950122239
