,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Seasonal_lag_1,Seasonal_lag_2,Seasonal_lag_24,Seasonal_lag_168,Seasonal_lag_336,Seasonal_lag_504,Seasonal_lag_672,Pred,Actual
2753,0,0,4,7,2023,4,-63.604924267155575,-63.264461015529065,-63.11061246680718,-62.04168864940239,-63.44620469835717,-64.56330848969867,-64.08375561548893,-66.0,-63.61087201730363
2754,0,0,5,7,2023,4,-63.61087201730363,-63.604924267155575,-56.6418428153012,-56.47037172813907,-58.54941419526179,-59.0525492193206,-56.005734127039936,-60.0,-57.02287633738602
2755,0,0,6,7,2023,4,-57.02287633738602,-63.61087201730363,-37.35737717854013,-35.56035792172505,-37.71872843603758,-38.43477247903348,-32.7739083964748,-41.0,-37.9271624485835
2756,0,0,7,7,2023,4,-37.9271624485835,-57.02287633738602,-3.0509212563401578,-2.007290421038153,-1.5765062030298989,-1.335552184510698,-4.793152630891418,-7.0,-2.4788862175928643
2757,0,0,8,7,2023,4,-2.4788862175928643,-37.9271624485835,41.00580307647632,37.50099591866748,34.68035208706634,35.47966437058517,33.46535326998278,37.0,41.68849263307133
2758,0,0,9,7,2023,4,41.68849263307133,-2.4788862175928643,141.2781926234349,145.10810343587397,149.61996687067628,143.4785107295008,145.991610973203,132.0,143.26773749106755
2759,0,0,10,7,2023,4,143.26773749106755,41.68849263307133,83.47834054506379,90.3255115673972,100.3337174652144,106.0116465789981,101.1381190060956,82.0,82.95666069241038
2760,0,0,11,7,2023,4,82.95666069241038,143.26773749106755,31.00252633117257,33.88094412552273,36.06779857797083,35.20794815147966,33.34689019630649,29.0,31.889233184215577
2761,0,0,12,7,2023,4,31.889233184215577,82.95666069241038,2.244791209211822,-3.281857269701726,-5.232880891842503,0.0801846044499544,2.712569528227767,0.0,3.2193644122535483
2762,0,0,13,7,2023,4,3.2193644122535483,31.889233184215577,14.810934278825178,15.259947802527025,15.9886593645649,17.403220566090994,11.521124080350194,13.0,15.648393111550105
2763,0,0,14,7,2023,4,15.648393111550105,3.2193644122535483,-3.987138612187939,-2.484989989298203,0.5160742912438069,-0.808135285047216,-1.7163550069004576,-8.0,-3.4117678750513023
2764,0,0,15,7,2023,4,-3.4117678750513023,15.648393111550105,-5.034510792780824,-12.110384607691742,-14.01091712321842,-15.203590352519392,-11.103561950437609,-10.0,-5.143060389864513
2765,0,0,16,7,2023,4,-5.143060389864513,-3.4117678750513023,-8.37742265506001,-5.935413653188884,-10.35522642155354,-12.377934382334944,-4.685763001053713,-12.0,-9.479928787731293
2766,0,0,17,7,2023,4,-9.479928787731293,-5.143060389864513,-6.683381127380732,-6.041921657710855,-9.038169015958385,-7.36253842891619,-2.032831401761425,-10.0,-7.090319149130521
2767,0,0,18,7,2023,4,-7.090319149130521,-9.479928787731293,35.318223349671825,20.842966169546965,13.917771048055783,19.41931650908449,28.592070423951643,30.0,37.66572768071361
2768,0,0,19,7,2023,4,37.66572768071361,-7.090319149130521,56.16943121429049,59.73554850514024,57.9704262987452,55.13180689031592,33.71865610456287,55.0,53.64360715056738
2769,0,0,20,7,2023,4,53.64360715056738,37.66572768071361,22.356257886525537,12.949788303314584,10.181480881466284,11.18799034514672,18.125131524766527,17.0,22.73652618153468
2770,0,0,21,7,2023,4,22.73652618153468,53.64360715056738,-2.613201013175625,0.1419032562733361,5.748339173318895,12.155098929892366,9.594083439625818,-4.0,-2.9008474820836563
2771,0,0,22,7,2023,4,-2.9008474820836563,22.73652618153468,-12.95327174712462,-8.80350276593548,-5.0543795282979,-5.4712958354175765,-9.846553638014075,-15.0,-13.546186693052448
