,Date_Time,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672
9716,2024-04-24 20:00:00,0,0,,1,2019,5,54.0,,,,,,,
9717,2024-04-24 21:00:00,0,0,,1,2019,5,54.0,,,,,,,
9718,2024-04-24 22:00:00,0,0,,1,2019,5,54.0,,,,,,,
9719,2024-04-24 23:00:00,0,0,,1,2019,5,54.0,,,,,,,
9720,2024-04-25 00:00:00,0,0,,1,2019,6,54.0,,,,,,,
9721,2024-04-25 01:00:00,0,0,,1,2019,6,54.0,,,,,,,
9722,2024-04-25 02:00:00,0,0,,1,2019,6,54.0,,,,,,,
9723,2024-04-25 03:00:00,0,0,,1,2019,6,54.0,,,,,,,
9724,2024-04-25 04:00:00,0,0,,1,2019,6,54.0,,,,,,,
9725,2024-04-25 05:00:00,0,0,,1,2019,6,54.0,,,,,,,
9726,2024-04-25 06:00:00,0,0,,1,2019,6,54.0,,,,,,,
9727,2024-04-25 07:00:00,0,0,,1,2019,6,54.0,,,,,,,
9728,2024-04-25 08:00:00,0,0,,1,2019,6,54.0,,,,,,,
9729,2024-04-25 09:00:00,0,0,,1,2019,6,54.0,,,,,,,
9730,2024-04-25 10:00:00,0,0,,1,2019,6,54.0,,,,,,,
9731,2024-04-25 11:00:00,0,0,,1,2019,6,54.0,,,,,,,
9732,2024-04-25 12:00:00,0,0,,1,2019,6,54.0,,,,,,,
9733,2024-04-25 13:00:00,0,0,,1,2019,6,54.0,,,,,,,
9734,2024-04-25 14:00:00,0,0,,1,2019,6,54.0,,,,,,,
9735,2024-04-25 15:00:00,0,0,,1,2019,6,54.0,,,,,,,
9736,2024-04-25 16:00:00,0,0,,1,2019,6,54.0,,,,,,,
9737,2024-04-25 17:00:00,0,0,,1,2019,6,54.0,,,,,,,
9738,2024-04-25 18:00:00,0,0,,1,2019,6,54.0,,,,,,,
9739,2024-04-25 19:00:00,0,0,,1,2019,6,54.0,,,,,,,
9740,2024-04-25 20:00:00,0,0,,1,2019,6,54.0,,,,,,,
9741,2024-04-25 21:00:00,0,0,,1,2019,6,54.0,,,,,,,
9742,2024-04-25 22:00:00,0,0,,1,2019,6,54.0,,,,,,,
9743,2024-04-25 23:00:00,0,0,,1,2019,6,54.0,,,,,,,
9744,2024-04-26 00:00:00,0,0,,1,2019,0,54.0,,,,,,,
9745,2024-04-26 01:00:00,0,0,,1,2019,0,54.0,,,,,,,
9746,2024-04-26 02:00:00,0,0,,1,2019,0,54.0,,,,,,,
9747,2024-04-26 03:00:00,0,0,,1,2019,0,54.0,,,,,,,
9748,2024-04-26 04:00:00,0,0,,1,2019,0,54.0,,,,,,,
9749,2024-04-26 05:00:00,0,0,,1,2019,0,54.0,,,,,,,
9750,2024-04-26 06:00:00,0,0,,1,2019,0,54.0,,,,,,,
9751,2024-04-26 07:00:00,0,0,,1,2019,0,54.0,,,,,,,
9752,2024-04-26 08:00:00,0,0,,1,2019,0,54.0,,,,,,,
9753,2024-04-26 09:00:00,0,0,,1,2019,0,54.0,,,,,,,
9754,2024-04-26 10:00:00,0,0,,1,2019,0,54.0,,,,,,,
9755,2024-04-26 11:00:00,0,0,,1,2019,0,54.0,,,,,,,
9756,2024-04-26 12:00:00,0,0,,1,2019,0,54.0,,,,,,,
9757,2024-04-26 13:00:00,0,0,,1,2019,0,54.0,,,,,,,
9758,2024-04-26 14:00:00,0,0,,1,2019,0,54.0,,,,,,,
9759,2024-04-26 15:00:00,0,0,,1,2019,0,54.0,,,,,,,
9760,2024-04-26 16:00:00,0,0,,1,2019,0,54.0,,,,,,,
9761,2024-04-26 17:00:00,0,0,,1,2019,0,54.0,,,,,,,
9762,2024-04-26 18:00:00,0,0,,1,2019,0,54.0,,,,,,,
9763,2024-04-26 19:00:00,0,0,,1,2019,0,54.0,,,,,,,
9764,2024-04-26 20:00:00,0,0,,1,2019,0,54.0,,,,,,,
9765,2024-04-26 21:00:00,0,0,,1,2019,0,54.0,,,,,,,
9766,2024-04-26 22:00:00,0,0,,1,2019,0,54.0,,,,,,,
9767,2024-04-26 23:00:00,0,0,,1,2019,0,54.0,,,,,,,
9768,2024-04-27 00:00:00,0,0,,1,2019,1,54.0,,,,,,,
9769,2024-04-27 01:00:00,0,0,,1,2019,1,54.0,,,,,,,
9770,2024-04-27 02:00:00,0,0,,1,2019,1,54.0,,,,,,,
9771,2024-04-27 03:00:00,0,0,,1,2019,1,54.0,,,,,,,
9772,2024-04-27 04:00:00,0,0,,1,2019,1,54.0,,,,,,,
9773,2024-04-27 05:00:00,0,0,,1,2019,1,54.0,,,,,,,
9774,2024-04-27 06:00:00,0,0,,1,2019,1,54.0,,,,,,,
9775,2024-04-27 07:00:00,0,0,,1,2019,1,54.0,,,,,,,
9776,2024-04-27 08:00:00,0,0,,1,2019,1,54.0,,,,,,,
9777,2024-04-27 09:00:00,0,0,,1,2019,1,54.0,,,,,,,
9778,2024-04-27 10:00:00,0,0,,1,2019,1,54.0,,,,,,,
9779,2024-04-27 11:00:00,0,0,,1,2019,1,54.0,,,,,,,
9780,2024-04-27 12:00:00,0,0,,1,2019,1,54.0,,,,,,,
9781,2024-04-27 13:00:00,0,0,,1,2019,1,54.0,,,,,,,
9782,2024-04-27 14:00:00,0,0,,1,2019,1,54.0,,,,,,,
9783,2024-04-27 15:00:00,0,0,,1,2019,1,54.0,,,,,,,
9784,2024-04-27 16:00:00,0,0,,1,2019,1,54.0,,,,,,,
9785,2024-04-27 17:00:00,0,0,,1,2019,1,54.0,,,,,,,
9786,2024-04-27 18:00:00,0,0,,1,2019,1,54.0,,,,,,,
9787,2024-04-27 19:00:00,0,0,,1,2019,1,54.0,,,,,,,
9788,2024-04-27 20:00:00,0,0,,1,2019,1,54.0,,,,,,,
9789,2024-04-27 21:00:00,0,0,,1,2019,1,54.0,,,,,,,
9790,2024-04-27 22:00:00,0,0,,1,2019,1,54.0,,,,,,,
9791,2024-04-27 23:00:00,0,0,,1,2019,1,54.0,,,,,,,
9792,2024-04-28 00:00:00,0,0,,1,2019,2,54.0,,,,,,,
9793,2024-04-28 01:00:00,0,0,,1,2019,2,54.0,,,,,,,
9794,2024-04-28 02:00:00,0,0,,1,2019,2,54.0,,,,,,,
9795,2024-04-28 03:00:00,0,0,,1,2019,2,54.0,,,,,,,
9796,2024-04-28 04:00:00,0,0,,1,2019,2,54.0,,,,,,,
9797,2024-04-28 05:00:00,0,0,,1,2019,2,54.0,,,,,,,
9798,2024-04-28 06:00:00,0,0,,1,2019,2,54.0,,,,,,,
9799,2024-04-28 07:00:00,0,0,,1,2019,2,54.0,,,,,,,
9800,2024-04-28 08:00:00,0,0,,1,2019,2,54.0,,,,,,,
9801,2024-04-28 09:00:00,0,0,,1,2019,2,54.0,,,,,,,
9802,2024-04-28 10:00:00,0,0,,1,2019,2,54.0,,,,,,,
9803,2024-04-28 11:00:00,0,0,,1,2019,2,54.0,,,,,,,
9804,2024-04-28 12:00:00,0,0,,1,2019,2,54.0,,,,,,,
9805,2024-04-28 13:00:00,0,0,,1,2019,2,54.0,,,,,,,
9806,2024-04-28 14:00:00,0,0,,1,2019,2,54.0,,,,,,,
9807,2024-04-28 15:00:00,0,0,,1,2019,2,54.0,,,,,,,
9808,2024-04-28 16:00:00,0,0,,1,2019,2,54.0,,,,,,,
9809,2024-04-28 17:00:00,0,0,,1,2019,2,54.0,,,,,,,
9810,2024-04-28 18:00:00,0,0,,1,2019,2,54.0,,,,,,,
9811,2024-04-28 19:00:00,0,0,,1,2019,2,54.0,,,,,,,
9812,2024-04-28 20:00:00,0,0,,1,2019,2,54.0,,,,,,,
9813,2024-04-28 21:00:00,0,0,,1,2019,2,54.0,,,,,,,
9814,2024-04-28 22:00:00,0,0,,1,2019,2,54.0,,,,,,,
9815,2024-04-28 23:00:00,0,0,,1,2019,2,54.0,,,,,,,
9816,2024-04-29 00:00:00,0,0,,1,2019,3,54.0,,,,,,,
9817,2024-04-29 01:00:00,0,0,,1,2019,3,54.0,,,,,,,
9818,2024-04-29 02:00:00,0,0,,1,2019,3,54.0,,,,,,,
9819,2024-04-29 03:00:00,0,0,,1,2019,3,54.0,,,,,,,
9820,2024-04-29 04:00:00,0,0,,1,2019,3,54.0,,,,,,,
9821,2024-04-29 05:00:00,0,0,,1,2019,3,54.0,,,,,,,
9822,2024-04-29 06:00:00,0,0,,1,2019,3,54.0,,,,,,,
9823,2024-04-29 07:00:00,0,0,,1,2019,3,54.0,,,,,,,
9824,2024-04-29 08:00:00,0,0,,1,2019,3,54.0,,,,,,,
9825,2024-04-29 09:00:00,0,0,,1,2019,3,54.0,,,,,,,
9826,2024-04-29 10:00:00,0,0,,1,2019,3,54.0,,,,,,,
9827,2024-04-29 11:00:00,0,0,,1,2019,3,54.0,,,,,,,
9828,2024-04-29 12:00:00,0,0,,1,2019,3,54.0,,,,,,,
9829,2024-04-29 13:00:00,0,0,,1,2019,3,54.0,,,,,,,
9830,2024-04-29 14:00:00,0,0,,1,2019,3,54.0,,,,,,,
9831,2024-04-29 15:00:00,0,0,,1,2019,3,54.0,,,,,,,
9832,2024-04-29 16:00:00,0,0,,1,2019,3,54.0,,,,,,,
9833,2024-04-29 17:00:00,0,0,,1,2019,3,54.0,,,,,,,
9834,2024-04-29 18:00:00,0,0,,1,2019,3,54.0,,,,,,,
9835,2024-04-29 19:00:00,0,0,,1,2019,3,54.0,,,,,,,
9836,2024-04-29 20:00:00,0,0,,1,2019,3,54.0,,,,,,,
9837,2024-04-29 21:00:00,0,0,,1,2019,3,54.0,,,,,,,
9838,2024-04-29 22:00:00,0,0,,1,2019,3,54.0,,,,,,,
9839,2024-04-29 23:00:00,0,0,,1,2019,3,54.0,,,,,,,
9840,2024-04-30 00:00:00,0,0,,1,2019,4,54.0,,,,,,,
9841,2024-04-30 01:00:00,0,0,,1,2019,4,54.0,,,,,,,
9842,2024-04-30 02:00:00,0,0,,1,2019,4,54.0,,,,,,,
9843,2024-04-30 03:00:00,0,0,,1,2019,4,54.0,,,,,,,
9844,2024-04-30 04:00:00,0,0,,1,2019,4,54.0,,,,,,,
9845,2024-04-30 05:00:00,0,0,,1,2019,4,54.0,,,,,,,
9846,2024-04-30 06:00:00,0,0,,1,2019,4,54.0,,,,,,,
9847,2024-04-30 07:00:00,0,0,,1,2019,4,54.0,,,,,,,
9848,2024-04-30 08:00:00,0,0,,1,2019,4,54.0,,,,,,,
9849,2024-04-30 09:00:00,0,0,,1,2019,4,54.0,,,,,,,
9850,2024-04-30 10:00:00,0,0,,1,2019,4,54.0,,,,,,,
9851,2024-04-30 11:00:00,0,0,,1,2019,4,54.0,,,,,,,
9852,2024-04-30 12:00:00,0,0,,1,2019,4,54.0,,,,,,,
9853,2024-04-30 13:00:00,0,0,,1,2019,4,54.0,,,,,,,
9854,2024-04-30 14:00:00,0,0,,1,2019,4,54.0,,,,,,,
9855,2024-04-30 15:00:00,0,0,,1,2019,4,54.0,,,,,,,
9856,2024-04-30 16:00:00,0,0,,1,2019,4,54.0,,,,,,,
9857,2024-04-30 17:00:00,0,0,,1,2019,4,54.0,,,,,,,
9858,2024-04-30 18:00:00,0,0,,1,2019,4,54.0,,,,,,,
9859,2024-04-30 19:00:00,0,0,,1,2019,4,54.0,,,,,,,
9860,2024-04-30 20:00:00,0,0,,1,2019,4,54.0,,,,,,,
9861,2024-04-30 21:00:00,0,0,,1,2019,4,54.0,,,,,,,
9862,2024-04-30 22:00:00,0,0,,1,2019,4,54.0,,,,,,,
9863,2024-04-30 23:00:00,0,0,,1,2019,4,54.0,,,,,,,
9864,2024-05-01 00:00:00,0,0,,1,2019,5,54.0,,,,,,,
9865,2024-05-01 01:00:00,0,0,,1,2019,5,54.0,,,,,,,
9866,2024-05-01 02:00:00,0,0,,1,2019,5,54.0,,,,,,,
9867,2024-05-01 03:00:00,0,0,,1,2019,5,54.0,,,,,,,
9868,2024-05-01 04:00:00,0,0,,1,2019,5,54.0,,,,,,,
9869,2024-05-01 05:00:00,0,0,,1,2019,5,54.0,,,,,,,
9870,2024-05-01 06:00:00,0,0,,1,2019,5,54.0,,,,,,,
9871,2024-05-01 07:00:00,0,0,,1,2019,5,54.0,,,,,,,
9872,2024-05-01 08:00:00,0,0,,1,2019,5,54.0,,,,,,,
9873,2024-05-01 09:00:00,0,0,,1,2019,5,54.0,,,,,,,
9874,2024-05-01 10:00:00,0,0,,1,2019,5,54.0,,,,,,,
9875,2024-05-01 11:00:00,0,0,,1,2019,5,54.0,,,,,,,
9876,2024-05-01 12:00:00,0,0,,1,2019,5,54.0,,,,,,,
9877,2024-05-01 13:00:00,0,0,,1,2019,5,54.0,,,,,,,
9878,2024-05-01 14:00:00,0,0,,1,2019,5,54.0,,,,,,,
9879,2024-05-01 15:00:00,0,0,,1,2019,5,54.0,,,,,,,
9880,2024-05-01 16:00:00,0,0,,1,2019,5,54.0,,,,,,,
9881,2024-05-01 17:00:00,0,0,,1,2019,5,54.0,,,,,,,
9882,2024-05-01 18:00:00,0,0,,1,2019,5,54.0,,,,,,,
